iter	Passed	Remaining
0	161	161294
1	172	86070
2	181	60474
3	188	46993
4	194	38633
5	198	32838
6	201	28631
7	205	25506
8	208	22989
9	211	20943
10	214	19260
11	216	17864
12	219	16662
13	221	15629
14	224	14718
15	226	13917
16	228	13218
17	231	12626
18	234	12099
19	237	11620
20	239	11157
21	241	10735
22	243	10347
23	245	9998
24	249	9711
25	251	9421
26	254	9154
27	257	8923
28	260	8719
29	263	8510
30	265	8308
31	268	8117
32	270	7941
33	273	7775
34	276	7635
35	280	7498
36	282	7362
37	285	7215
38	287	7076
39	289	6949
40	291	6825
41	293	6705
42	296	6600
43	298	6491
44	300	6387
45	303	6294
46	305	6202
47	308	6111
48	310	6022
49	312	5939
50	314	5857
51	317	5782
52	319	5704
53	321	5630
54	324	5573
55	327	5515
56	330	5461
57	332	5404
58	335	5349
59	338	5297
60	340	5245
61	343	5194
62	346	5146
63	348	5099
64	351	5054
65	354	5012
66	357	4972
67	359	4932
68	362	4892
69	365	4853
70	368	4816
71	371	4787
72	374	4752
73	377	4724
74	379	4684
75	382	4654
76	385	4618
77	387	4579
78	389	4541
79	391	4506
80	394	4472
81	396	4441
82	399	4408
83	401	4378
84	403	4345
85	405	4312
86	408	4282
87	410	4251
88	412	4225
89	416	4210
90	418	4185
91	421	4157
92	423	4129
93	425	4105
94	428	4078
95	430	4052
96	432	4026
97	434	4001
98	437	3977
99	439	3953
100	441	3932
101	444	3909
102	446	3887
103	448	3865
104	450	3843
105	453	3821
106	455	3804
107	458	3783
108	460	3763
109	462	3744
110	464	3723
111	467	3705
112	469	3687
113	472	3669
114	474	3651
115	476	3633
116	478	3614
117	481	3598
118	483	3580
119	486	3568
120	489	3553
121	491	3539
122	494	3526
123	497	3512
124	499	3497
125	502	3484
126	504	3470
127	507	3459
128	510	3445
129	513	3433
130	515	3421
131	518	3407
132	520	3395
133	523	3382
134	526	3370
135	528	3358
136	531	3345
137	533	3332
138	536	3323
139	539	3311
140	541	3300
141	544	3288
142	547	3278
143	549	3268
144	552	3259
145	555	3250
146	558	3240
147	561	3231
148	565	3232
149	568	3219
150	570	3210
151	573	3197
152	575	3186
153	578	3180
154	581	3170
155	584	3160
156	586	3149
157	588	3136
158	590	3124
159	592	3112
160	595	3101
161	597	3089
162	599	3080
163	602	3070
164	604	3059
165	606	3048
166	608	3036
167	611	3027
168	613	3018
169	616	3008
170	618	2999
171	621	2993
172	625	2991
173	629	2988
174	632	2980
175	634	2971
176	638	2966
177	640	2958
178	646	2963
179	651	2968
180	656	2969
181	661	2971
182	664	2968
183	668	2962
184	673	2965
185	677	2963
186	680	2957
187	682	2949
188	687	2949
189	690	2944
190	693	2937
191	696	2931
192	700	2927
193	704	2926
194	707	2920
195	710	2912
196	714	2911
197	717	2905
198	720	2901
199	723	2894
200	726	2888
201	730	2885
202	733	2878
203	737	2877
204	740	2870
205	744	2869
206	749	2869
207	751	2863
208	754	2856
209	759	2856
210	762	2852
211	766	2847
212	768	2840
213	772	2837
214	775	2830
215	777	2823
216	781	2819
217	784	2813
218	788	2812
219	792	2810
220	795	2803
221	798	2797
222	802	2795
223	806	2795
224	810	2792
225	813	2786
226	816	2780
227	819	2775
228	823	2773
229	826	2767
230	830	2765
231	835	2765
232	838	2759
233	841	2753
234	845	2751
235	849	2749
236	851	2742
237	854	2736
238	859	2735
239	863	2733
240	866	2729
241	869	2723
242	873	2721
243	879	2724
244	890	2745
245	899	2756
246	907	2766
247	928	2815
248	933	2815
249	943	2829
250	948	2829
251	954	2834
252	965	2851
253	971	2853
254	1009	2949
255	1013	2946
256	1017	2942
257	1020	2935
258	1024	2931
259	1027	2925
260	1030	2917
261	1034	2913
262	1038	2909
263	1041	2902
264	1044	2895
265	1047	2891
266	1050	2884
267	1063	2904
268	1068	2902
269	1071	2896
270	1074	2891
